store_name,store_code,store_location,store_category,store_PriceCategory
Kansas Denims,IMM00033,Emerald Mall,"Women's Fashion,Men's Fashion",Premium
Homosapiens,IMM00020,Emerald Mall,"Women's Fashion,Men's Fashion",Premium
Rocket Swims,IMM00153,Emerald Mall,"Sports & Fitness,Women's Fashion,Men's Fashion",Premium
Spade &  Yard,IMM00027,Emerald Mall,Gifts & Toys,Value
Pondicherry,IMM00008,Emerald Mall,"Accessories,Women's Fashion",Premium
Chicago Pizza,IMA00020,Diamond Mall,Food & Beverage,Premium
Pod Store,IMM00193,Emerald Mall,Electronics,Super Premium
Coloured Weekwear,IMM00023,Emerald Mall,Men's Fashion,Premium
Roberto ,IMM00046,Emerald Mall,Men's Fashion,Premium
Silver Treats,IMM00244,Emerald Mall,Jewellery,Premium
Jeju Secrets,IMM00245,Emerald Mall,Beauty & Grooming,Premium
Kidz Pramz,IMM00241,Emerald Mall,"Kids Fashion,Accessories",Value
Kidz Pramz,NA-IMM0058,Emerald Mall,"Kids Fashion,Accessories",Value
Striped Candies,NA-IMM00261,Emerald Mall,Food & Beverage,Value
Diamond Parking,NA-IMMPARKING,Emerald Mall,NA,Value
Travel Sky,IMM00053,Emerald Mall,Travel,Value
Belts & More (Men),IMM00079,Emerald Mall,"Accessories,Men's Fashion",Value
Bollywood Fashion,IMM00158,Emerald Mall,"Women's Fashion,Men's Fashion",Value
Kim's Mobile Cafe,IMM00140,Emerald Mall,Electronics,Premium
David Paddington,IMA00086,Diamond Mall,"Accessories,Women's Fashion,Men's Fashion",Premium
Fun Rides,IMM00240,Emerald Mall,Entertainment & Leisure,Value
Anita'S,IMM00002,Emerald Mall,Women's Fashion,Premium
Default,NA-IMA0038,Diamond Mall,NA,Value
Kolkatta Momos,IMA00087,Diamond Mall,Food & Beverage,Value
Jewels Galore,NA-IMM00262,Emerald Mall,Jewellery,Premium
Parking,NA-IMAPARKING,Diamond Mall,NA,Value
River Rafting,IMM00128,Emerald Mall,"Travel,Accessories,Sports & Fitness",Premium
Leather Hands,IMM00126,Emerald Mall,"Accessories,Women's Fashion",Premium
Red Dot Ethnics,IMM00133,Emerald Mall,Women's Fashion,Premium
Tnt Gold,IMA00080,Diamond Mall,Entertainment & Leisure,Premium
Handcrafted,IMA00075,Diamond Mall,Electronics,Premium
Plantorganics,IMA00079,Diamond Mall,Beauty & Grooming,Premium
Travel Bags,NA-IMA0017,Diamond Mall,NA,Value
Fun Rides,NA-IMM00264,Emerald Mall,Entertainment & Leisure,Value
Alankriti ,IMM00246,Emerald Mall,Jewellery,Premium
Sharmila'S,IMM00143,Emerald Mall,Women's Fashion,Premium
Lorenzo'S Rosso,IMA00025,Diamond Mall,"Women's Fashion,Men's Fashion",Premium
Butler ,IMA00039,Diamond Mall,Men's Fashion,Premium
Marathon Sports,IMA00041,Diamond Mall,"Sports & Fitness,Women's Fashion,Men's Fashion",Premium
London Eyewear,IMA00010,Diamond Mall,"Accessories,Women's Fashion,Men's Fashion",Value
Instacash,IMA00081,Diamond Mall,Food & Beverage,Value
Eiffel Cosmetics,IMM00218,Emerald Mall,Beauty & Grooming,Premium
Handcrafted,NA-IMA0060,Diamond Mall,Electronics,Premium
Alankriti ,NA-IMM00265,Emerald Mall,Jewellery,Premium
Zoomin' Kids,IMM00247,Emerald Mall,NA,Value
Bay Side Pizza,IMM00123,Emerald Mall,Food & Beverage,Premium
Thai Spa,IMA00013,Diamond Mall,Health & Wellness,Premium
Malibu Sunglass City,IMA00012,Diamond Mall,"Accessories,Women's Fashion,Men's Fashion",Premium
Taiwan Bubble,IMA00082,Diamond Mall,Food & Beverage,Value
